,predict
2018-01-01,407.92450773534017
2018-02-01,408.6705496040888
2018-03-01,409.57545949613416
2018-04-01,411.101388132517
2018-05-01,411.6991775872176
2018-06-01,410.926890292898
2018-07-01,409.24939055982844
2018-08-01,407.1327615296558
2018-09-01,405.7297519797692
2018-10-01,406.00073174515387
2018-11-01,407.54006313630913
2018-12-01,408.9654465112605
2019-01-01,410.1664269250038
2019-02-01,410.9121422727657
2019-03-01,411.816698362975
2019-04-01,413.3420677946262
2019-05-01,413.9396359349735
2019-06-01,413.1676184636443
2019-07-01,411.4907124755995
2019-08-01,409.3748344160816
2019-09-01,407.972322824652
2019-10-01,408.24320593191186
2019-11-01,409.7819900602881
2019-12-01,411.206866757345
2020-01-01,412.4074202920189
2020-02-01,413.1528705860036
2020-03-01,414.05710518313003
2020-04-01,415.58193249137474
2020-05-01,416.17928825224527
2020-06-01,415.40754515379393
2020-07-01,413.7312351368326
2020-08-01,411.6161090595114
2020-09-01,410.2140959202044
2020-10-01,410.4848827554948
2020-11-01,412.02312000013734
2020-12-01,413.44749029618305
2021-01-01,414.6476171542848
2021-02-01,415.39280251533273
2021-03-01,416.2967157476099
2021-04-01,417.8210011324497
2021-05-01,418.41814459316873
2021-06-01,417.64667577210054
2021-07-01,415.97096151547294
2021-08-01,413.85658715364923
2021-09-01,412.45507228960616
2021-10-01,412.725762887295
2021-11-01,414.2634534426463
2021-12-01,415.6873175176977
2022-01-01,416.88701785089006
2022-02-01,417.63193837317
2022-03-01,418.53553035481696
2022-04-01,420.0592740088545
2022-05-01,420.6562052448752
2022-06-01,419.8850106037129
2022-07-01,418.2098918956864
2022-08-01,416.0962689822008
2022-09-01,414.6952522163349
2022-10-01,414.96584661062496
2022-11-01,416.5029906709784
2022-12-01,417.9263487049463
2023-01-01,419.12562266481615
2023-02-01,419.8702784424517
2023-03-01,420.7735492876409
2023-04-01,422.29675140340726
2023-05-01,422.8934704901542
2023-06-01,422.1225499314542
2023-07-01,420.44802656037086
2023-08-01,418.33515482815875
2023-09-01,416.93463598344596
2023-10-01,417.205134208528
2023-11-01,418.74173196810784
2023-12-01,420.1645841408392
2024-01-01,421.36343187891964
2024-02-01,422.107823006001
2024-03-01,423.0107728288643
2024-04-01,424.5334335988221
2024-05-01,425.12994061169314
2024-06-01,424.3592940380467
2024-07-01,422.68536579232386
2024-08-01,420.5732449744155
2024-09-01,419.1732238738947
2024-10-01,419.4436259639472
2024-11-01,420.97967761690865
2024-12-01,422.4020241081865
2025-01-01,423.6004457759566
2025-02-01,424.3445723465406
2025-03-01,425.24720126116927
2025-04-01,426.76932087771274
2025-05-01,427.3656158920789
2025-06-01,426.5952432061117
2025-07-01,424.9219098742419
2025-08-01,422.8105397037625
2025-09-01,421.41101617053556
2025-10-01,421.6813221597249
2025-11-01,423.2168279001541
2025-12-01,424.6386688896975
2026-01-01,425.83666463858265
2026-02-01,426.58052674669256
